Área,Perímetro,Compacidade,Comprimento,Largura,Assimetria,Comprimento do sulco,Espécie
15.26,14.84,871.0,5.763,3.312,2.221,5.22,0
14.88,14.57,8.811,5.553999999999999,3.333,1.018,4.956,0
14.29,14.09,905.0,5.291,3.3369999999999997,2.699,4.825,0
13.84,13.94,8.955,5.324,3.3789999999999996,2.259,4.805,0
16.14,14.99,9.033999999999999,5.6579999999999995,3.562,1.355,5.175,0
14.38,14.21,8.951,5.386,3.312,2.4619999999999997,4.956,0
14.69,14.49,8.799,5.563,3.259,3.5860000000000003,5.218999999999999,0
14.11,14.1,8.911,5.42,3.302,2.7,5.0,0
16.63,15.46,8.747,6.053,3.465,2.04,5.877000000000001,0
16.44,15.25,888.0,5.8839999999999995,3.505,1.969,5.5329999999999995,0
15.26,14.85,8.696,5.7139999999999995,3.242,4.543,5.314,0
14.03,14.16,8.796,5.438,3.201,1.7169999999999999,5.001,0
13.89,14.02,888.0,5.439,3.199,3.986,4.738,0
13.78,14.06,8.759,5.479,3.156,3.136,4.872,0
13.74,14.05,8.744,5.482,3.114,2.932,4.825,0
14.59,14.28,8.993,5.351,3.333,4.185,4.781000000000001,0
13.99,13.83,9.183,5.119,3.383,5.234,4.781000000000001,0
15.69,14.75,9.058,5.527,3.514,1.599,5.046,0
14.7,14.21,9.152999999999999,5.205,3.466,1.767,4.649,0
12.72,13.57,8.686,5.226,3.049,4.102,4.914,0
14.16,14.4,8.584,5.6579999999999995,3.1289999999999996,3.072,5.176,0
14.11,14.26,8.722000000000001,5.52,3.168,2.688,5.218999999999999,0
15.88,14.9,8.988,5.617999999999999,3.5069999999999997,7.651,5.091,0
12.08,13.23,8.664,5.099,2.9360000000000004,1.415,4.961,0
15.01,14.76,8.657,5.789,3.245,1.791,5.001,0
16.19,15.16,8.849,5.832999999999999,3.4210000000000003,903.0,5.307,0
13.02,13.76,8.641,5.395,3.0260000000000002,3.373,4.825,0
12.74,13.67,8.564,5.395,2.9560000000000004,2.504,4.869,0
14.11,14.18,882.0,5.541,3.221,2.7539999999999996,5.038,0
13.45,14.02,8.604,5.516,3.065,3.531,5.0969999999999995,0
13.16,13.82,8.662,5.454,2.975,8.551,5.056,0
15.49,14.94,8.724,5.757000000000001,3.3710000000000004,3.412,5.228,0
14.09,14.41,8.529,5.7170000000000005,3.1860000000000004,3.92,5.2989999999999995,0
13.94,14.17,8.728,5.585,3.15,2.124,5.012,0
15.05,14.68,8.779,5.712000000000001,3.3280000000000003,2.129,5.36,0
16.12,15.0,0.9,5.709,3.485,2.27,5.443,0
16.2,15.27,8.734,5.8260000000000005,3.464,2.823,5.527,0
17.08,15.38,9.079,5.832000000000001,3.6830000000000003,2.9560000000000004,5.484,0
